Survey Information
ID,23
Title,eNPS March 2025
Created At,2025-03-17 03:21:16
Buyer Name,Johnny & Jugnu

Employee Statistics
Total Filtered Employees,631
Employees With Responses,454
Pending Employees,177

Response Number,Branch,Designation,Employment type,Time spent with company,"I feel comfortable approaching my Branch Leader when I have doubts or concerns. 
",My Branch Leader takes timely and effective action on employee concerns,I do not feel comfortable reporting workplace issues due to fear of retaliation from management.,My Branch Leader is actively present and engaged in daily operations.,My Branch Leader regularly recognises and appreciates good performance during shifts.,"My Branch Leader clearly communicates company policies, strategies, and changes.",I have always been treated with fairness and respect. ,I feel mentally and emotionally comfortable in my branch.,My colleagues support me during both good and difficult times.,"I feel my workplace is free from verbal, physical or emotional mistreatment.",My colleagues do not make inappropriate comments about my personal or physical attributes.,I feel accepted as part of my team. ,"Everyone at my branch is given equal opportunities for hiring, feedback, and support.",I feel like the workload is fairly distributed among team members,Promotions and career growth at JJ are based on skills and performance rather than favouritism.,I consistently receive constructive feedback from my Manager that helps me improve my performance.,My Manager consistently provides me with guidance for my growth and development.,"I understand JJ’s core values [be the best, empathy, we are one, resilience, happiness, sincerity, homie and innovation] and can apply them in my personal and professional life.",I am satisfied with my salary,I am satisfied with the perks and benefits provided by the Company.,My HR Team is approachable and addresses my concerns in a timely manner.,My company invests in my training and helps me grow in my job,I feel inspired by my training team to be better.,The training I received from my training team helped me do my job better.,"I feel that workplace safety standards and protocols are properly followed, and I feel physically safe at work.","On a scale of 1 to 10, how likely are you to recommend JJ as a workplace to your friends and family? ",What improvements would enhance your experience at JJ?
Response_44,Johar Town Branch,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,4. Strongly Agree,"10 = Extremely Likely, 9","1.JJ m jab bhi koi new opportunities ati h please JJ m jitny log Kam krty h unko moka dia jaye na k bahir sy koi bh hire kia jaye 
2.Training Jese har week Hoti thi wese he hwa kry m satisfied nh hu apni training sy q k mjhy lgta Kahi jaga mjhy D motivate bh kia jata h 
3.hmara staff food bh change Hona chaye Khana bht bura ata h bht complains ki h but koi response nh
"
Response_45,Emporium Branch,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,"1.jj ma jab bhi nayi vacancy ay to interview  inside aor outside dono Ka akhta Hona chai.un m SA Jo bhitr ho will be selected (just advise)
2 need to improve in staff meal standard.
"
Response_46,Wehshi Lab,Crew,Contractual,More than 1 year,4. strongly agree,3. Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,7,"7 rating
I want my food alliance in my sallry because food is not fresh and
Hame overtime bhi ni mila rha agar hum extra time laga rha ha to overtime ni mil rha uska
"
Response_47,Wehshi Lab,Delivery Rider,Contractual,6 months to 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Main JJ company ko 1 to 10 marks dyta ho ye mare lye bohat excellent good or beautiful nice 👍👍🙂🙂 ❤️❤️😃😃🫶🫶💪💪🥳🥳😇😇💯💯🎉🎉🎊🎊👏👏✌️✌️hain I am very happy and satisfied 💐💐
Response_48,Wehshi Lab,Crew,Part time,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,Mujy 03 months ho gye j.j ko join kiya howy alhmdullilah  mujy seekhny k lye bahot kuch mila or many seekha mny jo parformce di mery seniors and mangers bta skty hain is bary main main chata hoon k main apni company ko mazeed time doon Main chata hoon k mujy full time kiya jaye Thanks Alot.I pray that this company will always prosper.
Response_49,Wehshi Lab,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"1 to 10
Ma four month sy j.j ka sath hu I'm joining for 6 hour or ma full timer hona Chahta hu to application bi di ha to kindly mujy full timer kr dy 
Baki j.j is the best "
Response_50,Wehshi Lab,Crew,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"10 MARKS 
MUJE KOI MASLA NI HE APNI BRANCH K KISI B DOST SE 
JJ KI PERFORMANCE 100% HE 
"
Response_51,Wehshi Lab,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,JJ is the good place for job when I can joh weshi lab I can't feel I am at job weshi lab it's aa all family members not aa distance any bodyi likee. JJ and I love it's good place for job 
Response_52,Wehshi Lab,Crew,Permanent,More than 3 years,4. strongly agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"1) maiN JJ ko 1 say 10 ki  rating krta  hu💯 . Q k Yeh ik safe and secure environment apNay employee ko provide krti hai . Aur culture àur growth k lehaaz sy best company hai✨💯.

"
Response_53,Wehshi Lab,Crew,Part time,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,SOP'S or training slides should be available for everyone ... over time must be available for full timers because in future i must try to become a full timer at wehshi lab ... Break time must be 40 minutes... I recommend jj as a work place with 10 friends 
Response_54,Wehshi Lab,Crew,Permanent,More than 3 years,3. agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3,"(3).  

   All oky "
Response_55,Wehshi Lab,Crew,Permanent,3-6 months,3. agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3,"1-3 star over time nahi pay hota regular over time lagwaya jata ha espy focus kiya jata 
 
Feedback chemical ka use extra hota ha waste bht hota ha"
Response_56,Wehshi Lab,Crew,Contractual,6 months to 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,Please add overtime again in our company 
Response_57,Wehshi Lab,Crew,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"1 to10
Ma Wehshi Lab 11-03-2025 sa Joining Kya, Aur Jab sa jahan Job Joining ki hai, sab Crew nay Bohat Achy Tarikay sa Coporate kya ha kafi Cheezey Sekhnay ko mili, jahan ke Maneger bohat achy hein, Environment is very good. 
"
Response_58,Wehshi Lab,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,8,"8 rating
JJ doing well much better 
Good working 
"
Response_59,Wehshi Lab,Crew,Contractual,More than 1 year,4. strongly agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,First of all jj is good company employe ko over time milna chahy ❤️💯✨
Response_60,Wehshi Lab,Crew,Permanent,More than 1 year,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,5,"7 rating last question ka answer 
All ok Hy "
Response_61,Wehshi Lab,Crew,Contractual,6 months to 1 year,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,"2. Disagree, 3. Agree",3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,2. Disagree,3. Agree,"5 rating 
I want my food allowance in my salary 
Humye over time be nai milta 
"
Response_62,Wehshi Lab,Crew,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"10
Ma jj me 11 march se joining ha in 10 days ma mainy jo sikha ha as a crew wo boht best ha or yaha kam kr k mujy boht acha lag rha or yaha boht friendly mahol ha. Yaha mujy boht sari cheezain sikhny ko mil rhi hen jo k pahly ni thi pta. 
Environment is very good and all staf is very good. Wehshi lab k managers boht achy or friendly hen or ma 100% sure hn"
Response_63,Wehshi Lab,Crew,Contractual,3-6 months,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,Please add over time again in over company 
Response_64,Wehshi Lab,Crew,Contractual,6 months to 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,SELECT * FROM `survey_responses` WHERE question_id =121 AND employee_id=572162;,JJ my best job ma jj ko 1 say 10 kee rating data ho kuo ka JJ best hai or agar ma kesi ko jj ka bara ma batata ho too acha say us ko gaid karo ga ta ka jis tara ma kush ho wo be ider a kar kam ko sekha or kara or kush raha ider bus over time be  hona chahiya please thank jj best 
Response_65,Emporium Branch,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,2. Disagree,3. Agree,1. Strongly Disagree,"2. Disagree, 3. Agree",4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,"4. Strongly Agree, 3. Agree",9,"Jj old training plans were best when tainers regularly take training session and they are concernrd about company internal employees grwoth like hamza sir emanual boss faizain sir. Also includes fuel adjustment for boys 
Please improve the standard of staff food. 
Add monthly perks for staff not from HR from the branch side like hero of months puntucal and cleanness perk... "
Response_66,Wehshi Lab,Crew,Part time,6 months to 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,8,"Rating 
10/10

Team work problem 
False language use
"
Response_67,Emporium Branch,Crew,Part time,3-6 months,3. agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,2. Disagree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely Likely,"As a crew member I am very happay about JJ's environment and I think we work as family but some issues I wanna mention below like :
One of the major issue is staff food is I think this is major improving area the very next is that 
Company have more expectations from it's emplyees but employ didn't have expectations I mean we desrve more than they are providing because we are the main pillars and we are running the whole system .
The next is that if somebody raises the issue for his workload or any other kind of issue so he mentioned every time on this type of talks .
The next is that as boy girls get more favoure and this cause injustice envirnment .
The last one but not least is that employes didn't have seprate room for food or I mean changing room .
The last one is that company should provide meal once in a week that create energetic and happy environment .
Thanks 
Allah hafiz 

"
Response_68,Phase 6,Crew,Contractual,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,Pori team ko ak sath chlna chye taky hamri barnch jaldi agy bhary 
Response_69,Bahria Town,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,9,Everything is going very good 
Response_70,Bahria Town,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,7,Sb ca phela dining honi chi yah hr 2th yah 3th customer yah he khata ha ka lazami honi chi yah or baki sb thi ha 
Response_71,Bahria Town,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Employee Food Quality improvement 
Response_72,Bahria Town,Crew,Contractual,More than 1 year,4. strongly agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,5,Loyalty is the root of success 
Response_73,Bahria Town,Crew,Permanent,More than 1 year,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,5,Nothing
Response_74,Bahria Town,Delivery Rider,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,We want medical card 
Response_75,Bahria Town,Delivery Rider,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,10,Health card 
Response_76,Bahria Town,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Old age card
